id,date,country,store,product,num_sold
0,01/01/2010,Canada,Discount Stickers,Holographic Goose,
1,01/01/2010,Canada,Discount Stickers,Kaggle,973
2,01/01/2010,Canada,Discount Stickers,Kaggle Tiers,906
3,01/01/2010,Canada,Discount Stickers,Kerneler,423
4,01/01/2010,Canada,Discount Stickers,Kerneler Dark Mode,491
5,01/01/2010,Canada,Stickers for Less,Holographic Goose,300
6,01/01/2010,Canada,Stickers for Less,Kaggle,1837
7,01/01/2010,Canada,Stickers for Less,Kaggle Tiers,1659
8,01/01/2010,Canada,Stickers for Less,Kerneler,807
9,01/01/2010,Canada,Stickers for Less,Kerneler Dark Mode,940
10,01/01/2010,Canada,Premium Sticker Mart,Holographic Goose,375
11,01/01/2010,Canada,Premium Sticker Mart,Kaggle,2212
12,01/01/2010,Canada,Premium Sticker Mart,Kaggle Tiers,2013
13,01/01/2010,Canada,Premium Sticker Mart,Kerneler,950
14,01/01/2010,Canada,Premium Sticker Mart,Kerneler Dark Mode,1213
15,01/01/2010,Finland,Discount Stickers,Holographic Goose,150
16,01/01/2010,Finland,Discount Stickers,Kaggle,926
17,01/01/2010,Finland,Discount Stickers,Kaggle Tiers,774
18,01/01/2010,Finland,Discount Stickers,Kerneler,424
19,01/01/2010,Finland,Discount Stickers,Kerneler Dark Mode,450
20,01/01/2010,Finland,Stickers for Less,Holographic Goose,311
21,01/01/2010,Finland,Stickers for Less,Kaggle,1948
22,01/01/2010,Finland,Stickers for Less,Kaggle Tiers,1632
23,01/01/2010,Finland,Stickers for Less,Kerneler,878
24,01/01/2010,Finland,Stickers for Less,Kerneler Dark Mode,950
25,01/01/2010,Finland,Premium Sticker Mart,Holographic Goose,362
26,01/01/2010,Finland,Premium Sticker Mart,Kaggle,2304
27,01/01/2010,Finland,Premium Sticker Mart,Kaggle Tiers,2070
28,01/01/2010,Finland,Premium Sticker Mart,Kerneler,1134
29,01/01/2010,Finland,Premium Sticker Mart,Kerneler Dark Mode,1047
30,01/01/2010,Italy,Discount Stickers,Holographic Goose,110
31,01/01/2010,Italy,Discount Stickers,Kaggle,681
32,01/01/2010,Italy,Discount Stickers,Kaggle Tiers,627
33,01/01/2010,Italy,Discount Stickers,Kerneler,340
34,01/01/2010,Italy,Discount Stickers,Kerneler Dark Mode,406
35,01/01/2010,Italy,Stickers for Less,Holographic Goose,228
36,01/01/2010,Italy,Stickers for Less,Kaggle,1424
37,01/01/2010,Italy,Stickers for Less,Kaggle Tiers,1281
38,01/01/2010,Italy,Stickers for Less,Kerneler,637
39,01/01/2010,Italy,Stickers for Less,Kerneler Dark Mode,778
40,01/01/2010,Italy,Premium Sticker Mart,Holographic Goose,269
41,01/01/2010,Italy,Premium Sticker Mart,Kaggle,1786
42,01/01/2010,Italy,Premium Sticker Mart,Kaggle Tiers,1434
43,01/01/2010,Italy,Premium Sticker Mart,Kerneler,783
44,01/01/2010,Italy,Premium Sticker Mart,Kerneler Dark Mode,861
45,01/01/2010,Kenya,Discount Stickers,Holographic Goose,
46,01/01/2010,Kenya,Discount Stickers,Kaggle,20
47,01/01/2010,Kenya,Discount Stickers,Kaggle Tiers,16
48,01/01/2010,Kenya,Discount Stickers,Kerneler,8
49,01/01/2010,Kenya,Discount Stickers,Kerneler Dark Mode,9
50,01/01/2010,Kenya,Stickers for Less,Holographic Goose,5
51,01/01/2010,Kenya,Stickers for Less,Kaggle,40
52,01/01/2010,Kenya,Stickers for Less,Kaggle Tiers,32
53,01/01/2010,Kenya,Stickers for Less,Kerneler,17
54,01/01/2010,Kenya,Stickers for Less,Kerneler Dark Mode,19
55,01/01/2010,Kenya,Premium Sticker Mart,Holographic Goose,7
56,01/01/2010,Kenya,Premium Sticker Mart,Kaggle,41
57,01/01/2010,Kenya,Premium Sticker Mart,Kaggle Tiers,37
58,01/01/2010,Kenya,Premium Sticker Mart,Kerneler,20
59,01/01/2010,Kenya,Premium Sticker Mart,Kerneler Dark Mode,22
60,01/01/2010,Norway,Discount Stickers,Holographic Goose,261
61,01/01/2010,Norway,Discount Stickers,Kaggle,1692
62,01/01/2010,Norway,Discount Stickers,Kaggle Tiers,1525
63,01/01/2010,Norway,Discount Stickers,Kerneler,791
64,01/01/2010,Norway,Discount Stickers,Kerneler Dark Mode,911
65,01/01/2010,Norway,Stickers for Less,Holographic Goose,579
66,01/01/2010,Norway,Stickers for Less,Kaggle,3369
67,01/01/2010,Norway,Stickers for Less,Kaggle Tiers,3195
68,01/01/2010,Norway,Stickers for Less,Kerneler,1606
69,01/01/2010,Norway,Stickers for Less,Kerneler Dark Mode,1672
70,01/01/2010,Norway,Premium Sticker Mart,Holographic Goose,625
71,01/01/2010,Norway,Premium Sticker Mart,Kaggle,3940
72,01/01/2010,Norway,Premium Sticker Mart,Kaggle Tiers,3430
73,01/01/2010,Norway,Premium Sticker Mart,Kerneler,1951
74,01/01/2010,Norway,Premium Sticker Mart,Kerneler Dark Mode,2376
75,01/01/2010,Singapore,Discount Stickers,Holographic Goose,150
76,01/01/2010,Singapore,Discount Stickers,Kaggle,939
77,01/01/2010,Singapore,Discount Stickers,Kaggle Tiers,768
78,01/01/2010,Singapore,Discount Stickers,Kerneler,405
79,01/01/2010,Singapore,Discount Stickers,Kerneler Dark Mode,495
80,01/01/2010,Singapore,Stickers for Less,Holographic Goose,301
81,01/01/2010,Singapore,Stickers for Less,Kaggle,1981
82,01/01/2010,Singapore,Stickers for Less,Kaggle Tiers,1565
83,01/01/2010,Singapore,Stickers for Less,Kerneler,841
84,01/01/2010,Singapore,Stickers for Less,Kerneler Dark Mode,1080
85,01/01/2010,Singapore,Premium Sticker Mart,Holographic Goose,317
86,01/01/2010,Singapore,Premium Sticker Mart,Kaggle,2112
87,01/01/2010,Singapore,Premium Sticker Mart,Kaggle Tiers,1992
88,01/01/2010,Singapore,Premium Sticker Mart,Kerneler,1045
89,01/01/2010,Singapore,Premium Sticker Mart,Kerneler Dark Mode,1255
90,02/01/2010,Canada,Discount Stickers,Holographic Goose,
91,02/01/2010,Canada,Discount Stickers,Kaggle,881
92,02/01/2010,Canada,Discount Stickers,Kaggle Tiers,854
93,02/01/2010,Canada,Discount Stickers,Kerneler,440
94,02/01/2010,Canada,Discount Stickers,Kerneler Dark Mode,437
95,02/01/2010,Canada,Stickers for Less,Holographic Goose,281
96,02/01/2010,Canada,Stickers for Less,Kaggle,1972
97,02/01/2010,Canada,Stickers for Less,Kaggle Tiers,1541
98,02/01/2010,Canada,Stickers for Less,Kerneler,783
99,02/01/2010,Canada,Stickers for Less,Kerneler Dark Mode,1068
100,02/01/2010,Canada,Premium Sticker Mart,Holographic Goose,336
101,02/01/2010,Canada,Premium Sticker Mart,Kaggle,2183
102,02/01/2010,Canada,Premium Sticker Mart,Kaggle Tiers,1953
103,02/01/2010,Canada,Premium Sticker Mart,Kerneler,895
104,02/01/2010,Canada,Premium Sticker Mart,Kerneler Dark Mode,1217
105,02/01/2010,Finland,Discount Stickers,Holographic Goose,127
106,02/01/2010,Finland,Discount Stickers,Kaggle,869
107,02/01/2010,Finland,Discount Stickers,Kaggle Tiers,764
108,02/01/2010,Finland,Discount Stickers,Kerneler,417
109,02/01/2010,Finland,Discount Stickers,Kerneler Dark Mode,440
110,02/01/2010,Finland,Stickers for Less,Holographic Goose,287
111,02/01/2010,Finland,Stickers for Less,Kaggle,1867
112,02/01/2010,Finland,Stickers for Less,Kaggle Tiers,1559
113,02/01/2010,Finland,Stickers for Less,Kerneler,741
114,02/01/2010,Finland,Stickers for Less,Kerneler Dark Mode,994
115,02/01/2010,Finland,Premium Sticker Mart,Holographic Goose,297
116,02/01/2010,Finland,Premium Sticker Mart,Kaggle,1903
117,02/01/2010,Finland,Premium Sticker Mart,Kaggle Tiers,2018
118,02/01/2010,Finland,Premium Sticker Mart,Kerneler,949
119,02/01/2010,Finland,Premium Sticker Mart,Kerneler Dark Mode,1120
120,02/01/2010,Italy,Discount Stickers,Holographic Goose,107
121,02/01/2010,Italy,Discount Stickers,Kaggle,743
122,02/01/2010,Italy,Discount Stickers,Kaggle Tiers,569
123,02/01/2010,Italy,Discount Stickers,Kerneler,319
124,02/01/2010,Italy,Discount Stickers,Kerneler Dark Mode,374
125,02/01/2010,Italy,Stickers for Less,Holographic Goose,226
126,02/01/2010,Italy,Stickers for Less,Kaggle,1387
127,02/01/2010,Italy,Stickers for Less,Kaggle Tiers,1072
128,02/01/2010,Italy,Stickers for Less,Kerneler,604
129,02/01/2010,Italy,Stickers for Less,Kerneler Dark Mode,691
130,02/01/2010,Italy,Premium Sticker Mart,Holographic Goose,251
131,02/01/2010,Italy,Premium Sticker Mart,Kaggle,1512
132,02/01/2010,Italy,Premium Sticker Mart,Kaggle Tiers,1419
133,02/01/2010,Italy,Premium Sticker Mart,Kerneler,729
134,02/01/2010,Italy,Premium Sticker Mart,Kerneler Dark Mode,885
135,02/01/2010,Kenya,Discount Stickers,Holographic Goose,
136,02/01/2010,Kenya,Discount Stickers,Kaggle,16
